day	hour	minute	value
7	13	10	40.5
7	13	20	41.0
7	13	30	41.2
7	13	40	41.3
7	13	50	42.0
7	14	0	41.7
7	14	10	41.4
7	14	20	42.0
7	14	30	42.4
7	14	40	42.4
7	14	50	42.4
7	15	0	42.7
7	15	10	42.6
7	15	20	43.7
7	15	30	44.0
7	15	40	43.8
7	15	50	43.4
7	16	0	43.5
7	16	10	43.4
7	16	20	44.2
7	16	30	44.9
7	16	40	45.6
7	16	50	45.4
7	17	0	45.0
7	17	10	45.0
7	17	20	46.3
7	17	30	47.7
7	17	40	48.0
7	17	50	47.7
7	18	0	46.0
7	18	10	46.2
7	18	20	46.6
7	18	30	46.6
7	18	40	45.8
7	18	50	45.2
7	19	0	44.0
7	19	10	43.6
7	19	20	44.3
7	19	30	43.7
7	19	40	43.7
7	19	50	43.8
7	20	0	43.6
7	20	10	44.6
7	20	20	45.0
7	20	30	43.6
7	20	40	43.4
7	20	50	42.9
7	21	0	42.4
7	21	10	42.1
7	21	20	41.9
7	21	30	41.4
7	21	40	40.4
7	21	50	40.0
7	22	0	39.7
7	22	10	39.4
7	22	20	39.2
7	22	30	38.7
