weekday,hour,sensor,speed,cord_dist,timcost(s)
Thu,11,737242,69.13315058,0.0812472294191,4.23082158783
Thu,11,764050,60.18393942,0.391160051663,23.3978732459
Thu,11,737232,58.58701933,0.297439128349,18.276759499
Thu,11,759259,61.21645848,0.71317918722,41.940437878
Thu,12,769097,70.0,0.832277374339,42.8028363946
Thu,12,763727,70.0,0.139645510695,7.18176912148
Thu,12,759289,64.80837641,0.559657973601,31.0880910242
Thu,12,717045,59.61675281,0.206585251811,12.4747972921
Thu,12,768598,58.88588986,0.0568899838032,3.4779799062
Thu,12,717043,58.11585272,0.283295602159,17.5488118997
Thu,12,716063,56.63241089,0.33384110502,21.2215577473
Thu,12,717041,54.58657922,0.323084466206,21.3075099221
Thu,12,717040,54.58657922,0.196012381761,12.9270708006
Thu,12,763743,54.58657922,0.1315516349,8.67586671314
Thu,12,717036,54.58657922,0.362427303781,23.9021809437
Thu,12,763330,54.22812739,0.674369496326,44.768836831
Thu,12,717033,48.8624499,0.252025699416,18.5682977369
Thu,12,718103,46.94114973,0.256415442797,19.6649549356
Thu,12,717031,46.94114973,0.273212412862,20.9531443511
Thu,12,717029,46.94114973,0.252295142898,19.3489618311
Thu,12,717026,40.82184894,0.144830724592,12.7723418236
Thu,12,773647,36.95167298,0.212550235517,20.7076104044
Thu,12,764244,39.8587107,0.378754760679,34.2087617612
Thu,12,718414,38.04333991,0.54997232596,52.0432847941
Thu,12,717019,34.71870906,0.501529913513,52.0038831377
Thu,12,717015,34.71870906,0.376637978738,39.0537770605
Thu,12,717012,34.71870906,0.502262402942,52.0798353265
Thu,12,718099,44.22648886,0.668200635419,54.3909848942
Thu,12,763341,44.22648886,0.361652856304,29.4382465408
Thu,12,716032,44.22648886,0.337407756487,27.4647152569
Thu,12,763325,64.19059844,0.320433372172,17.9708581607
Thu,12,737292,60.41114882,0.54877111228,32.7021757208
Thu,12,718411,56.57526527,0.390200985617,24.829287879
Thu,12,764059,57.23508832,0.877803633895,55.212513421
Thu,12,737269,58.20926831,0.103833126708,6.42164498885
Thu,12,763490,63.15269558,0.270184558102,15.4017876867
Thu,12,737258,63.15269558,0.829144693387,47.2651383884
Thu,12,737242,63.15269558,0.0812472294191,4.6314733397
Thu,12,764050,57.68910299,0.391160051663,24.4097431404
Thu,12,737232,53.61997777,0.297439128349,19.9698117491
Thu,12,759259,58.03142637,0.71317918722,44.2423223862
Thu,13,769097,70.0,0.832277374339,42.8028363946
Thu,13,763727,70.0,0.139645510695,7.18176912148
Thu,13,759289,64.99193001,0.559657973601,31.0002904153
Thu,13,717045,60.95222032,0.206585251811,12.2014735906
Thu,13,768598,59.90056041,0.0568899838032,3.41906553611
Thu,13,717043,60.06688182,0.283295602159,16.9788099011
Thu,13,716063,60.52108967,0.33384110502,19.8580029643
Thu,13,717041,59.90521579,0.323084466206,19.4157397316
Thu,13,717040,62.63149688,0.196012381761,11.2666088069
Thu,13,763743,70.0,0.1315516349,6.76551265199
Thu,13,717036,58.27454119,0.362427303781,22.3895077845
Thu,13,763330,57.29648373,0.674369496326,42.3713643269
Thu,13,717033,53.5119974,0.252025699416,16.9549364999
Thu,13,718103,52.09697664,0.256415442797,17.7187939417
Thu,13,717031,70.0,0.273212412862,14.05092409
Thu,13,717029,59.21567479,0.252295142898,15.3382109999
Thu,13,717026,44.96575936,0.144830724592,11.5952808526
Thu,13,773647,42.42805165,0.212550235517,18.0347863761
Thu,13,764244,43.64712356,0.378754760679,31.2395646547
Thu,13,718414,46.00170043,0.54997232596,43.0397214657
Thu,13,717019,43.48476974,0.501529913513,41.520461059
Thu,13,717015,58.0291866,0.376637978738,23.3657716556
Thu,13,717012,59.17711538,0.502262402942,30.5547953627
Thu,13,718099,45.95928796,0.668200635419,52.3402862464
Thu,13,763341,61.38006018,0.361652856304,21.2112904236
Thu,13,716032,66.37830091,0.337407756487,18.2991716675
Thu,13,763325,63.12092049,0.320433372172,18.275401101
Thu,13,737292,59.68358026,0.54877111228,33.1008293337
Thu,13,718411,56.87448528,0.390200985617,24.6986595361
Thu,13,764059,57.99170998,0.877803633895,54.4921521216
Thu,13,737269,58.86020061,0.103833126708,6.35062830697
Thu,13,763490,63.34961427,0.270184558102,15.3539121015
Thu,13,737258,69.61057692,0.829144693387,42.8802780879
Thu,13,737242,63.30288462,0.0812472294191,4.62048495364
Thu,13,764050,59.45425113,0.391160051663,23.6850378101
Thu,13,737232,55.56459314,0.297439128349,19.2709205907
Thu,13,759259,59.56077618,0.71317918722,43.10630651
Thu,14,769097,70.0,0.832277374339,42.8028363946
Thu,14,763727,70.0,0.139645510695,7.18176912148
Thu,14,759289,64.49509804,0.559657973601,31.23909826
Thu,14,717045,61.13930849,0.206585251811,12.164136705
Thu,14,768598,60.84285197,0.0568899838032,3.36611343914
Thu,14,717043,61.17918237,0.283295602159,16.6701176489
Thu,14,716063,59.66215057,0.33384110502,20.1438930141
Thu,14,717041,56.28320432,0.323084466206,20.6652071856
Thu,14,717040,58.14658556,0.196012381761,12.1356149728
Thu,14,763743,58.14658556,0.1315516349,8.14468951321
Thu,14,717036,58.14658556,0.362427303781,22.438777463
Thu,14,763330,54.99686465,0.674369496326,44.1430652861
Thu,14,717033,50.5288097,0.252025699416,17.9559448023
Thu,14,718103,50.7491193,0.256415442797,18.1893913983
Thu,14,717031,70.0,0.273212412862,14.05092409
Thu,14,717029,56.35148515,0.252295142898,16.1178097084
Thu,14,717026,45.45908824,0.144830724592,11.4694471165
Thu,14,773647,43.2107522,0.212550235517,17.7081121921
Thu,14,764244,42.76752242,0.378754760679,31.8820698813
Thu,14,718414,42.57035052,0.54997232596,46.5089046548
Thu,14,717019,38.50588208,0.501529913513,46.8891398176
Thu,14,717015,38.50588208,0.376637978738,35.2127168686
Thu,14,717012,38.50588208,0.502262402942,46.9576218728
Thu,14,718099,48.20129292,0.668200635419,49.9057627251
Thu,14,763341,48.20129292,0.361652856304,27.0106921168
Thu,14,716032,48.20129292,0.337407756487,25.1999033588
Thu,14,763325,62.80686634,0.320433372172,18.3667838732
Thu,14,737292,58.6985658,0.54877111228,33.6562908699
Thu,14,718411,56.28434865,0.390200985617,24.9576228901
Thu,14,764059,58.0335969,0.877803633895,54.4528213109
Thu,14,737269,59.45734541,0.103833126708,6.2868473789
Thu,14,763490,63.91738623,0.270184558102,15.2175247853
Thu,14,737258,68.74702381,0.829144693387,43.4189108236
Thu,14,737242,69.26964286,0.0812472294191,4.2224849708
Thu,14,764050,61.11923922,0.391160051663,23.0398186227
Thu,14,737232,58.91972195,0.297439128349,18.1735559269
Thu,14,759259,61.17278784,0.71317918722,41.9703787362
Thu,15,769097,70.0,0.832277374339,42.8028363946
Thu,15,763727,70.0,0.139645510695,7.18176912148
Thu,15,759289,65.7469141,0.559657973601,30.6443082925
Thu,15,717045,61.49382819,0.206585251811,12.0940089178
Thu,15,768598,61.19486918,0.0568899838032,3.34675021674
Thu,15,717043,61.24690017,0.283295602159,16.6516862885
Thu,15,716063,60.23476964,0.33384110502,19.9523960207
Thu,15,717041,57.42605792,0.323084466206,20.2539425562
Thu,15,717040,57.42605792,0.196012381761,12.2878811448
Thu,15,763743,57.42605792,0.1315516349,8.24688134259
Thu,15,717036,57.42605792,0.362427303781,22.7203179335
Thu,15,763330,56.5263401,0.674369496326,42.948653362
Thu,15,717033,54.40526895,0.252025699416,16.6765560654
Thu,15,718103,57.22577583,0.256415442797,16.1307659124
Thu,15,717031,57.22577583,0.273212412862,17.1874417085
Thu,15,717029,57.22577583,0.252295142898,15.8715631419
Thu,15,717026,49.9721944,0.144830724592,10.4336144288
Thu,15,773647,47.77908052,0.212550235517,16.0149764193
Thu,15,764244,46.7568123,0.378754760679,29.1618925965
Thu,15,718414,42.77285526,0.54997232596,46.2887118809
